Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Mongolia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,842.54","3,576.82","3,595.38","4,056.73","4,245.46","3,916.09","4,171.69",2019
Montenegro,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,517.42","7,031.53","7,800.27","8,854.78","8,902.68","7,688.57","9,064.16",2019
Morocco,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,964.96","2,995.68","3,147.10","3,353.10","3,363.61","3,158.32","3,414.83",2018
Mozambique,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",570.129,415.18,445.192,484.87,487.687,449.63,424.911,2015
Myanmar,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,223.74","1,163.79","1,177.08","1,271.68","1,302.28","1,527.44","1,422.87",2015
Namibia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,020.47","4,611.51","5,438.76","5,664.46","5,100.07","4,175.18","4,371.20",2019
Nauru,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,994.05","7,674.48","8,152.26","9,398.51","9,365.10","8,866.87","10,124.97",2016
Nepal,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",901.75,899.6,"1,048.67","1,178.86","1,201.44","1,195.59","1,235.61",2018
Netherlands,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","45,302.80","46,165.18","48,799.87","53,224.69","52,490.59","52,247.54","58,003.35",2019
New Zealand,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","38,195.64","39,428.05","42,329.68","42,803.49","42,166.32","41,127.16","47,498.65",2020
Nicaragua,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,036.93","2,099.59","2,156.15","2,022.14","1,920.29","1,869.71","1,876.90",2019
Niger,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",484.171,497.882,517.771,572.564,553.905,565.867,632.633,2009
Nigeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,718.59","2,176.00","1,968.56","2,153.09","2,229.85","2,083.16","2,431.63",2012
North Macedonia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,860.42","5,152.97","5,462.38","6,111.19","6,044.44","5,918.11","6,656.68",2019
